00226739691:CL:cl_init:113                                           | START
01353620892:UH:sc_phy_init:111                                       | fapi_l1_config_request : test -> cl
01353623824:CL:FapiCPHYApiHandler:127                                | rcv ICPU msg 0x5107
01354404133:CL:FapiCPHYApiHandler:163                                | handle FAPI_L1_[2]
01355181512:CL:lte_cphy_request:293                                  | cl takes action FAPI_L1_[2], PHY_STATE_[1]
01356244230:CL:lte_cphy_request:343                                  | CPHY CONFIG_REQ in 1, 36 tlv's
01357155232:CL:conv_apiInit_from_CONFIG_request:157                  | conf SFN/SF MAC 0/0
01358123529:CL:lte_cphy_request:375                                  | PHY_INIT_REQ : cl -> phy
01358952932:CL:FapiSendMsgToPhy:026                                  | msg(type=0xc, size=56) : cl -> phy
01359915157:CL:FapiCPHYApiHandler:175                                | reply(type=3, rc=0, cpu=0) : cl -> mac
01553301343:CL:FapiPHYMsgHandler:074                                 | PHY_RXSTATUS_IND    : phy -> cl
01554517747:CL:fapi_cl_handle_phy_command:642                        | PGENMSGDESC pMsgHdr 0x2931a1c0
01555878151:CL:fapi_cl_handle_phy_command:647                        | cl handle PHY_RXSTATUS_IND   
01557420376:CL:fapi_cl_handle_phy_command:652                        | cl change state PHY_STATE_CONFIGURED
01803650050:UH:fapi_receive_mesg:129                                 | msg (paramID='0x3', length='7'): cl -> test
01803666123:UH:sc_phy_init:117                                       | fapi_l1_config_response : cl -> test
01803672331:UH:sc_phy_init:138                                       | PHY Config RSP MSG OK
01803684017:UH:send_phy_start_request:182                            | fapi_l1_start_request: test -> cl
01803686375:CL:FapiCPHYApiHandler:127                                | rcv ICPU msg 0x5107
01803698233:UH:sc0_sent_empty_vectors:079                            | data(PHY=[0/0], UL=[1023/9], DL=[0/1]) : test -> cl
01804466723:CL:FapiCPHYApiHandler:163                                | handle FAPI_L1_[4]
01805243909:CL:lte_cphy_request:293                                  | cl takes action FAPI_L1_[4], PHY_STATE_[2]
01806307023:CL:FapiSendMsgToPhy:026                                  | msg(type=0x11, size=12) : cl -> phy
01807279044:CL:lte_cphy_request:452                                  | PHY_START_REQ : cl -> phy
